name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,early_to_mid_percent_increase,rank_salary_potential_state
Mayville State University,North-Dakota,43700,81300,44,10,0.86,4
McDaniel College,Maryland,51100,94600,54,6,0.851,12
McNeese State University,Louisiana,50200,88200,57,13,0.757,11
McPherson College,Kansas,44500,80900,59,9,0.818,14
MCPHS University,Massachusetts,65900,121800,71,2,0.848,6
Medical University of South Carolina,South-Carolina,54800,92700,88,6,0.692,5
Menlo College,California,61900,112400,59,0,0.816,20
Mercer University,Georgia,48500,85100,62,14,0.755,11
Merrimack College,Massachusetts,56000,102500,50,13,0.83,22
Methodist College,Illinois,51400,90500,0,0,0.761,23
Methodist University,North-Carolina,45800,80500,58,9,0.758,19
Metropolitan State University,Minnesota,50200,85900,53,11,0.711,20
Metropolitan State University of Denver,Colorado,49400,87200,51,11,0.765,11
Miami University-Oxford,Ohio,57200,107300,46,22,0.876,2
Michigan State University,Michigan,55300,100800,46,20,0.823,5
Michigan Technological University,Michigan,65000,116300,47,81,0.789,2
Mid-America Christian University,Oklahoma,40700,74100,71,0,0.821,21
MidAmerica Nazarene University,Kansas,46200,78500,60,1,0.699,18
Middle Georgia State University,Georgia,44000,79800,57,11,0.814,23
Middle Tennessee State University,Tennessee,46500,81100,52,9,0.744,15
Middlebury College,Vermont,60400,109800,54,19,0.818,1
Midland University,Nebraska,43800,78100,60,7,0.783,13
Midway University,Kentucky,39200,70300,53,3,0.793,22
Miles College,Alabama,34800,65100,64,19,0.871,25
Milligan College,Tennessee,41200,74900,63,5,0.818,25
Millsaps College,Mississippi,49300,88700,56,24,0.799,3
Milwaukee School of Engineering,Wisconsin,65700,117600,50,69,0.79,1
Minneapolis College of Art and Design,Minnesota,47400,84700,39,0,0.787,24
Minnesota State University-Mankato,Minnesota,51600,90900,54,13,0.762,13
Minot State University,North-Dakota,44500,74100,55,7,0.665,7
Mississippi College,Mississippi,45200,79500,57,20,0.759,5
Mississippi State University,Mississippi,51100,94100,57,27,0.841,1
Mississippi University for Women,Mississippi,39500,69500,63,2,0.759,10
Mississippi Valley State University,Mississippi,32500,61900,70,11,0.905,14
Missouri State University-Springfield,Missouri,45900,86800,50,9,0.891,11
Missouri University of Science and Technology,Missouri,67300,122600,50,80,0.822,1
Missouri Western State University,Missouri,43400,77700,53,14,0.79,22
Monmouth University,New-Jersey,52200,93200,44,13,0.785,18
Montana State University,Montana,53700,96200,54,31,0.791,2
Montana State University-Billings,Montana,43300,77700,59,5,0.794,7
Montana State University-Northern,Montana,43400,75400,63,1,0.737,8
Montana Tech of the University of Montana,Montana,61200,112600,64,61,0.84,1
Montclair State University,New-Jersey,50800,95400,42,9,0.878,14
Morehead State University,Kentucky,41300,74900,56,9,0.814,16
Morehouse College,Georgia,55700,98700,58,26,0.772,4
Morningside College,Iowa,44900,82100,60,6,0.829,19
Mount Carmel College of Nursing,Ohio,56600,99700,78,0,0.761,8
Mount Marty College,South-Dakota,41400,76500,67,5,0.848,8
Mount Mercy University,Iowa,47200,79000,51,4,0.674,22
Mount St. Mary's University,Maryland,50200,94100,50,11,0.875,13
Muhlenberg College,Pennsylvania,53400,101900,43,20,0.908,17
Multnomah University,Oregon,40500,76400,82,0,0.886,22
Murray State University,Kentucky,44800,79900,56,9,0.783,12
nazarene Bible College,Colorado,33600,60100,0,0,0.789,19
Nebraska Methodist College of Nursing & Allied Health,Nebraska,51300,89800,84,0,0.75,5
Nebraska Wesleyan University,Nebraska,45700,80500,60,8,0.761,12
New College of Florida,Florida,47300,86500,40,4,0.829,20
New England College,New-Hampshire,45700,86400,43,24,0.891,6
New England Institute of Technology,Rhode-Island,51700,93200,44,14,0.803,7
New Hope Christian College-Eugene,Oregon,34200,61600,0,0,0.801,24
New Jersey City University,New-Jersey,48700,87600,55,9,0.799,24
New Jersey Institute of Technology,New-Jersey,64600,121300,51,75,0.878,3
New Mexico Highlands University,New-Mexico,40400,73800,63,4,0.827,6
New Mexico Institute of Mining and Technology,New-Mexico,64700,120400,61,91,0.861,1
New Mexico State University-Main Campus,New-Mexico,50400,96700,60,22,0.919,2
New Orleans Baptist Theological Seminary,Louisiana,33900,61500,0,0,0.814,23
New York University,New-York,63100,117700,42,18,0.865,13
Newberry College,South-Carolina,41200,74700,54,14,0.813,19
Newman University,Kansas,48000,88500,66,11,0.844,6
Nicholls State University,Louisiana,44500,84300,53,5,0.894,14
North Carolina A & T State University,North-Carolina,52600,93400,61,25,0.776,7
